INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (1, 44.2421507, 0.5471777963815636, 'https://si.eeudf.org/lieu/voir/10241');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (2, 44.6392846, 3.674607296482837, 'https://si.eeudf.org/lieu/voir/10269');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (3, 45.8860262, 5.169616274572701, 'https://si.eeudf.org/lieu/voir/10274');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (4, 44.18713245, 3.717506017248183, 'https://si.eeudf.org/lieu/voir/10275');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (5, 44.37177585, 3.980708309685172, 'https://si.eeudf.org/lieu/voir/10276');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (6, 45.8696624, 0.7241321268469574, 'https://si.eeudf.org/lieu/voir/10277');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (7, 44.95850085, 6.695774784474692, 'https://si.eeudf.org/lieu/voir/11343');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (8, 43.3593668, 5.658320909531718, 'https://si.eeudf.org/lieu/voir/10237');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (9, 48.0964161, -4.000129767991873, 'https://si.eeudf.org/lieu/voir/10393');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (10, 43.5919646, 1.3751629, 'https://si.eeudf.org/lieu/voir/10487');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (11, 47.3843038, 4.144914997271011, 'https://si.eeudf.org/lieu/voir/10499');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (12, 44.7389208, 0.7878725859796334, 'https://si.eeudf.org/lieu/voir/10511');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (13, 44.7389208, 0.7878725859796334, 'https://si.eeudf.org/lieu/voir/10512');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (14, 44.8991645, 4.434444593575419, 'https://si.eeudf.org/lieu/voir/10534');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (15, 43.64459605, 6.68097996246104, 'https://si.eeudf.org/lieu/voir/11068');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (16, 44.95850085, 6.695774784474692, 'https://si.eeudf.org/lieu/voir/11134');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (17, 44.7389208, 0.7878725859796334, 'https://si.eeudf.org/lieu/voir/10559');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (18, 44.94133255, 0.7546158488940613, 'https://si.eeudf.org/lieu/voir/10282');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (19, 49.39188665, 3.720454338880018, 'https://si.eeudf.org/lieu/voir/10283');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (20, 44.8430545, -0.0490527733671233, 'https://si.eeudf.org/lieu/voir/10291');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (21, 45.042832, 4.234067992685486, 'https://si.eeudf.org/lieu/voir/10292');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (22, 44.75054845, 5.022119457922379, 'https://si.eeudf.org/lieu/voir/10300');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (23, 43.617250600000006, 2.252883554125058, 'https://si.eeudf.org/lieu/voir/10319');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (24, 48.6219902, -4.209344225478395, 'https://si.eeudf.org/lieu/voir/10325');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (25, 49.3604063, 3.322989938079972, 'https://si.eeudf.org/lieu/voir/10326');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (26, 46.544916, 0.6910906666416572, 'https://si.eeudf.org/lieu/voir/10327');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (27, 43.34784945, 3.221014566797395, 'https://si.eeudf.org/lieu/voir/10333');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (28, 48.4783917, 7.201094651318517, 'https://si.eeudf.org/lieu/voir/10338');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (29, 47.69242915, -2.4480004743112653, 'https://si.eeudf.org/lieu/voir/10340');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (30, 48.9683605, 7.062943701897101, 'https://si.eeudf.org/lieu/voir/10350');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (31, 48.02451485, 6.572264331506521, 'https://si.eeudf.org/lieu/voir/10351');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (32, 47.5352466, -2.239351557072281, 'https://si.eeudf.org/lieu/voir/10364');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (33, 45.0248541, 0.1218252575222452, 'https://si.eeudf.org/lieu/voir/10370');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (34, 44.5527752, 4.9406225990872334, 'https://si.eeudf.org/lieu/voir/10376');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (35, 45.3601585, 5.015136289601344, 'https://si.eeudf.org/lieu/voir/10381');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (36, 44.90619365, 0.3389774334936541, 'https://si.eeudf.org/lieu/voir/10391');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (37, 46.724472500000005, 1.6840876038515795, 'https://si.eeudf.org/lieu/voir/10415');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (38, 48.0964161, -4.000129767991873, 'https://si.eeudf.org/lieu/voir/10416');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (39, 49.81736325, 0.9028302823322248, 'https://si.eeudf.org/lieu/voir/10422');
INSERT INTO sitecamp_lieux (id, latitude, longitude, lien) VALUES (40, 48.07627, 2.856076750792367, 'https://si.eeudf.org/lieu/voir/10431');
